numX,Rsq,N,Lambda,Alpha,Type,Power
1,0.26,1000,0.15,0.05,BayesYJ,1
1,0.02,50,0.25,0.05,BayesYJ,0.163
1,0.02,100,0.25,0.05,BayesYJ,0.288
1,0.02,150,0.25,0.05,BayesYJ,0.395
1,0.02,250,0.25,0.05,BayesYJ,0.6145
1,0.02,500,0.25,0.05,BayesYJ,0.885442721
1,0.02,1000,0.25,0.05,BayesYJ,0.994488978
1,0.07,50,0.25,0.05,BayesYJ,0.451
1,0.07,100,0.25,0.05,BayesYJ,0.764382191
1,0.07,150,0.25,0.05,BayesYJ,0.906453227
1,0.07,250,0.25,0.05,BayesYJ,0.9895
1,0.07,500,0.25,0.05,BayesYJ,1
1,0.07,1000,0.25,0.05,BayesYJ,1
1,0.13,50,0.25,0.05,BayesYJ,0.7275
1,0.13,100,0.25,0.05,BayesYJ,0.96098049
1,0.13,150,0.25,0.05,BayesYJ,0.996498249
1,0.13,250,0.25,0.05,BayesYJ,1
1,0.13,500,0.25,0.05,BayesYJ,1
1,0.13,1000,0.25,0.05,BayesYJ,1
1,0.26,50,0.25,0.05,BayesYJ,0.9715
1,0.26,100,0.25,0.05,BayesYJ,1
1,0.26,150,0.25,0.05,BayesYJ,1
1,0.26,250,0.25,0.05,BayesYJ,1
1,0.26,500,0.25,0.05,BayesYJ,1
1,0.26,1000,0.25,0.05,BayesYJ,1
1,0.02,50,0.15,0.05,Bayes,0.1375
1,0.02,100,0.15,0.05,Bayes,0.2465
1,0.02,150,0.15,0.05,Bayes,0.343545957
1,0.02,250,0.15,0.05,Bayes,0.531658291
1,0.02,500,0.15,0.05,Bayes,0.804030227
1,0.02,1000,0.15,0.05,Bayes,0.98284561
1,0.07,50,0.15,0.05,Bayes,0.377
1,0.07,100,0.15,0.05,Bayes,0.675
1,0.07,150,0.15,0.05,Bayes,0.838190955
1,0.07,250,0.15,0.05,Bayes,0.972361809
1,0.07,500,0.15,0.05,Bayes,1
1,0.07,1000,0.15,0.05,Bayes,1
1,0.13,50,0.15,0.05,Bayes,0.629
1,0.13,100,0.15,0.05,Bayes,0.9225
1,0.13,150,0.15,0.05,Bayes,0.983417085
1,0.13,250,0.15,0.05,Bayes,0.999497235
1,0.13,500,0.15,0.05,Bayes,1
1,0.13,1000,0.15,0.05,Bayes,1
1,0.26,50,0.15,0.05,Bayes,0.936
1,0.26,100,0.15,0.05,Bayes,0.996998499
1,0.26,150,0.15,0.05,Bayes,1
1,0.26,250,0.15,0.05,Bayes,1
1,0.26,500,0.15,0.05,Bayes,1
1,0.26,1000,0.15,0.05,Bayes,1
1,0.02,50,0.25,0.05,Bayes,0.143
1,0.02,100,0.25,0.05,Bayes,0.2635
1,0.02,150,0.25,0.05,Bayes,0.357106981
1,0.02,250,0.25,0.05,Bayes,0.555778894
1,0.02,500,0.25,0.05,Bayes,0.840806045
1,0.02,1000,0.25,0.05,Bayes,0.986377397
1,0.07,50,0.25,0.05,Bayes,0.3975
1,0.07,100,0.25,0.05,Bayes,0.7025
1,0.07,150,0.25,0.05,Bayes,0.864824121
1,0.07,250,0.25,0.05,Bayes,0.98040201
1,0.07,500,0.25,0.05,Bayes,1
1,0.07,1000,0.25,0.05,Bayes,1
1,0.13,50,0.25,0.05,Bayes,0.6635
1,0.13,100,0.25,0.05,Bayes,0.941970985
1,0.13,150,0.25,0.05,Bayes,0.989949749
1,0.13,250,0.25,0.05,Bayes,0.999496982
1,0.13,500,0.25,0.05,Bayes,1
1,0.13,1000,0.25,0.05,Bayes,1
1,0.26,50,0.25,0.05,Bayes,0.95
1,0.26,100,0.25,0.05,Bayes,0.99949975
1,0.26,150,0.25,0.05,Bayes,1
1,0.26,250,0.25,0.05,Bayes,1
1,0.26,500,0.25,0.05,Bayes,1
1,0.26,1000,0.25,0.05,Bayes,1
1,0.02,50,0.15,0.01,Theory,0.058880061
1,0.02,100,0.15,0.01,Theory,0.125668617
1,0.02,150,0.15,0.01,Theory,0.204354701
1,0.02,250,0.15,0.01,Theory,0.375599877
1,0.02,500,0.15,0.01,Theory,0.73189474
1,0.02,1000,0.15,0.01,Theory,0.973913904
1,0.07,50,0.15,0.01,Theory,0.262433629
1,0.07,100,0.15,0.01,Theory,0.566585291
1,0.07,150,0.15,0.01,Theory,0.783561564
1,0.07,250,0.15,0.01,Theory,0.960969648
