numX,Rsq,N,Alpha,Type,Power
1,0.26,100,0.01,Bayes,0.999
1,0.26,150,0.01,Bayes,1
1,0.26,250,0.01,Bayes,1
1,0.26,500,0.01,Bayes,1
1,0.26,1000,0.01,Bayes,1
2,0.02,50,0.1,Theory,0.220073045
2,0.02,100,0.1,Theory,0.339014399
2,0.02,150,0.1,Theory,0.450150944
2,0.02,250,0.1,Theory,0.636412817
2,0.02,500,0.1,Theory,0.893140462
2,0.02,1000,0.1,Theory,0.994322643
2,0.07,50,0.1,Theory,0.52008653
2,0.07,100,0.1,Theory,0.790961759
2,0.07,150,0.1,Theory,0.919790873
2,0.07,250,0.1,Theory,0.990756997
2,0.07,500,0.1,Theory,0.999981244
2,0.07,1000,0.1,Theory,1
2,0.13,50,0.1,Theory,0.788157097
2,0.13,100,0.1,Theory,0.970929631
2,0.13,150,0.1,Theory,0.996965797
2,0.13,250,0.1,Theory,0.999979332
2,0.13,500,0.1,Theory,1
2,0.13,1000,0.1,Theory,1
2,0.26,50,0.1,Theory,0.986534147
2,0.26,100,0.1,Theory,0.999955332
2,0.26,150,0.1,Theory,0.999999917
2,0.26,250,0.1,Theory,1
2,0.26,500,0.1,Theory,1
2,0.26,1000,0.1,Theory,1
2,0.02,50,0.05,Theory,0.134530083
2,0.02,100,0.05,Theory,0.229442144
2,0.02,150,0.05,Theory,0.327376939
2,0.02,250,0.05,Theory,0.512254582
2,0.02,500,0.05,Theory,0.823594688
2,0.02,1000,0.05,Theory,0.986801744
2,0.07,50,0.05,Theory,0.393615898
2,0.07,100,0.05,Theory,0.689320978
2,0.07,150,0.05,Theory,0.862121515
2,0.07,250,0.05,Theory,0.979531356
2,0.07,500,0.05,Theory,0.999931383
2,0.07,1000,0.05,Theory,1
2,0.13,50,0.05,Theory,0.685865903
2,0.13,100,0.05,Theory,0.943189432
2,0.13,150,0.05,Theory,0.992515953
2,0.13,250,0.05,Theory,0.999924879
2,0.13,500,0.05,Theory,1
2,0.13,1000,0.05,Theory,1
2,0.26,50,0.05,Theory,0.971326891
2,0.26,100,0.05,Theory,0.999845995
2,0.26,150,0.05,Theory,0.999999581
2,0.26,250,0.05,Theory,1
2,0.26,500,0.05,Theory,1
2,0.26,1000,0.05,Theory,1
2,0.02,50,0.01,Theory,0.041155984
2,0.02,100,0.01,Theory,0.086537582
2,0.02,150,0.01,Theory,0.143670594
2,0.02,250,0.01,Theory,0.280634896
2,0.02,500,0.01,Theory,0.626670404
2,0.02,1000,0.01,Theory,0.947234509
2,0.07,50,0.01,Theory,0.188209071
2,0.07,100,0.01,Theory,0.454437293
2,0.07,150,0.01,Theory,0.685985696
2,0.07,250,0.01,Theory,0.925346845
2,0.07,500,0.01,Theory,0.999346589
2,0.07,1000,0.01,Theory,0.999999995
2,0.13,50,0.01,Theory,0.450547742
2,0.13,100,0.01,Theory,0.836101929
2,0.13,150,0.01,Theory,0.966520609
2,0.13,250,0.01,Theory,0.999293572
2,0.13,500,0.01,Theory,0.999999994
2,0.13,1000,0.01,Theory,1
2,0.26,50,0.01,Theory,0.902870606
2,0.26,100,0.01,Theory,0.998691742
2,0.26,150,0.01,Theory,0.999992507
2,0.26,250,0.01,Theory,1
2,0.26,500,0.01,Theory,1
2,0.26,1000,0.01,Theory,1
2,0.02,50,0.1,ML,0.2385
2,0.02,100,0.1,ML,0.3565
2,0.02,150,0.1,ML,0.451
2,0.02,250,0.1,ML,0.6565
2,0.02,500,0.1,ML,0.9025
2,0.02,1000,0.1,ML,0.9935
2,0.07,50,0.1,ML,0.546
2,0.07,100,0.1,ML,0.78
2,0.07,150,0.1,ML,0.9205
2,0.07,250,0.1,ML,0.986
2,0.07,500,0.1,ML,1
2,0.07,1000,0.1,ML,1
2,0.13,50,0.1,ML,0.798
2,0.13,100,0.1,ML,0.9725
2,0.13,150,0.1,ML,0.9955
2,0.13,250,0.1,ML,1
2,0.13,500,0.1,ML,1
2,0.13,1000,0.1,ML,1
2,0.26,50,0.1,ML,0.975
2,0.26,100,0.1,ML,0.9995
2,0.26,150,0.1,ML,1
2,0.26,250,0.1,ML,1
2,0.26,500,0.1,ML,1
2,0.26,1000,0.1,ML,1
2,0.02,50,0.05,ML,0.15
2,0.02,100,0.05,ML,0.25
2,0.02,150,0.05,ML,0.326
2,0.02,250,0.05,ML,0.528
2,0.02,500,0.05,ML,0.835
2,0.02,1000,0.05,ML,0.9865
2,0.07,50,0.05,ML,0.4325
2,0.07,100,0.05,ML,0.673
2,0.07,150,0.05,ML,0.861
2,0.07,250,0.05,ML,0.9725
2,0.07,500,0.05,ML,1
2,0.07,1000,0.05,ML,1
2,0.13,50,0.05,ML,0.7
2,0.13,100,0.05,ML,0.939
2,0.13,150,0.05,ML,0.9905
2,0.13,250,0.05,ML,1
2,0.13,500,0.05,ML,1
2,0.13,1000,0.05,ML,1
2,0.26,50,0.05,ML,0.958
2,0.26,100,0.05,ML,0.999
2,0.26,150,0.05,ML,1
2,0.26,250,0.05,ML,1
2,0.26,500,0.05,ML,1
2,0.26,1000,0.05,ML,1
2,0.02,50,0.01,ML,0.0565
2,0.02,100,0.01,ML,0.096
2,0.02,150,0.01,ML,0.1515
2,0.02,250,0.01,ML,0.285
2,0.02,500,0.01,ML,0.6315
2,0.02,1000,0.01,ML,0.9505
2,0.07,50,0.01,ML,0.2385
2,0.07,100,0.01,ML,0.443
2,0.07,150,0.01,ML,0.708
2,0.07,250,0.01,ML,0.9105
2,0.07,500,0.01,ML,1
2,0.07,1000,0.01,ML,1
2,0.13,50,0.01,ML,0.496
2,0.13,100,0.01,ML,0.8365
2,0.13,150,0.01,ML,0.964
2,0.13,250,0.01,ML,0.9985
2,0.13,500,0.01,ML,1
2,0.13,1000,0.01,ML,1
2,0.26,50,0.01,ML,0.881
2,0.26,100,0.01,ML,0.9975
2,0.26,150,0.01,ML,1
2,0.26,250,0.01,ML,1
2,0.26,500,0.01,ML,1
2,0.26,1000,0.01,ML,1
2,0.02,50,0.1,MLR,0.278
2,0.02,100,0.1,MLR,0.392
2,0.02,150,0.1,MLR,0.4715
2,0.02,250,0.1,MLR,0.6545
2,0.02,500,0.1,MLR,0.903
2,0.02,1000,0.1,MLR,0.9935
2,0.07,50,0.1,MLR,0.575
2,0.07,100,0.1,MLR,0.791
2,0.07,150,0.1,MLR,0.9205
2,0.07,250,0.1,MLR,0.9865
2,0.07,500,0.1,MLR,1
2,0.07,1000,0.1,MLR,1
2,0.13,50,0.1,MLR,0.812
2,0.13,100,0.1,MLR,0.972
2,0.13,150,0.1,MLR,0.995
2,0.13,250,0.1,MLR,1
2,0.13,500,0.1,MLR,1
2,0.13,1000,0.1,MLR,1
2,0.26,50,0.1,MLR,0.9815
2,0.26,100,0.1,MLR,0.999
2,0.26,150,0.1,MLR,1
2,0.26,250,0.1,MLR,1
2,0.26,500,0.1,MLR,1
2,0.26,1000,0.1,MLR,1
2,0.02,50,0.05,MLR,0.1945
2,0.02,100,0.05,MLR,0.2725
2,0.02,150,0.05,MLR,0.3465
2,0.02,250,0.05,MLR,0.5395
2,0.02,500,0.05,MLR,0.8385
2,0.02,1000,0.05,MLR,0.9865
2,0.07,50,0.05,MLR,0.4745
2,0.07,100,0.05,MLR,0.695
2,0.07,150,0.05,MLR,0.865
2,0.07,250,0.05,MLR,0.9725
2,0.07,500,0.05,MLR,1
2,0.07,1000,0.05,MLR,1
2,0.13,50,0.05,MLR,0.727
2,0.13,100,0.05,MLR,0.943
2,0.13,150,0.05,MLR,0.988
2,0.13,250,0.05,MLR,1
2,0.13,500,0.05,MLR,1
2,0.13,1000,0.05,MLR,1
2,0.26,50,0.05,MLR,0.9565
2,0.26,100,0.05,MLR,0.998
2,0.26,150,0.05,MLR,1
2,0.26,250,0.05,MLR,1
2,0.26,500,0.05,MLR,1
2,0.26,1000,0.05,MLR,1
2,0.02,50,0.01,MLR,0.108
2,0.02,100,0.01,MLR,0.2205
2,0.02,150,0.01,MLR,0.3045
2,0.02,250,0.01,MLR,0.5125
2,0.02,500,0.01,MLR,0.8305
2,0.02,1000,0.01,MLR,0.986
2,0.07,50,0.01,MLR,0.369
2,0.07,100,0.01,MLR,0.6395
2,0.07,150,0.01,MLR,0.849
2,0.07,250,0.01,MLR,0.9705
2,0.07,500,0.01,MLR,1
2,0.07,1000,0.01,MLR,1
2,0.13,50,0.01,MLR,0.636
2,0.13,100,0.01,MLR,0.931
2,0.13,150,0.01,MLR,0.9895
2,0.13,250,0.01,MLR,1
2,0.13,500,0.01,MLR,1
2,0.13,1000,0.01,MLR,1
2,0.26,50,0.01,MLR,0.938
2,0.26,100,0.01,MLR,0.9985
2,0.26,150,0.01,MLR,1
2,0.26,250,0.01,MLR,1
2,0.26,500,0.01,MLR,1
2,0.26,1000,0.01,MLR,1
2,0.02,50,0.1,Bayes,0.184
2,0.02,100,0.1,Bayes,0.331
2,0.02,150,0.1,Bayes,0.4305
2,0.02,250,0.1,Bayes,0.6455
2,0.02,500,0.1,Bayes,0.9
2,0.02,1000,0.1,Bayes,0.9925
2,0.07,50,0.1,Bayes,0.4845
2,0.07,100,0.1,Bayes,0.7515
2,0.07,150,0.1,Bayes,0.911
2,0.07,250,0.1,Bayes,0.9855
2,0.07,500,0.1,Bayes,1
2,0.07,1000,0.1,Bayes,1
2,0.13,50,0.1,Bayes,0.752
2,0.13,100,0.1,Bayes,0.967
2,0.13,150,0.1,Bayes,0.994
2,0.13,250,0.1,Bayes,1
2,0.13,500,0.1,Bayes,1
2,0.13,1000,0.1,Bayes,1
